"filename", "language", "TypeScript", "JavaScript", "Markdown", "JSON", "HTML", "JSON with Comments", "PostCSS", "YAML", "comment", "blank", "total"
"e:\delete\harshad\Playwright-API-Automation\allure-report\data\packages.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"e:\delete\harshad\Playwright-API-Automation\allure-report\data\suites.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"e:\delete\harshad\Playwright-API-Automation\allure-report\data\test-cases\ed0459485b7b383c.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"e:\delete\harshad\Playwright-API-Automation\allure-report\data\timeline.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"e:\delete\harshad\Playwright-API-Automation\allure-report\export\mail.html", "HTML", 0, 0, 0, 0, 10, 0, 0, 0, 0, 1, 11
"e:\delete\harshad\Playwright-API-Automation\allure-report\history\categories-trend.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"e:\delete\harshad\Playwright-API-Automation\allure-report\history\duration-trend.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"e:\delete\harshad\Playwright-API-Automation\allure-report\history\history-trend.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"e:\delete\harshad\Playwright-API-Automation\allure-report\history\history.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"e:\delete\harshad\Playwright-API-Automation\allure-report\history\retry-trend.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"e:\delete\harshad\Playwright-API-Automation\allure-report\index.html", "HTML", 0, 0, 0, 0, 34, 0, 0, 0, 0, 1, 35
"e:\delete\harshad\Playwright-API-Automation\allure-report\plugin\behaviors\index.js", "JavaScript", 0, 256, 0, 0, 0, 0, 0, 0, 0, 21, 277
"e:\delete\harshad\Playwright-API-Automation\allure-report\plugin\packages\index.js", "JavaScript", 0, 141, 0, 0, 0, 0, 0, 0, 0, 20, 161
"e:\delete\harshad\Playwright-API-Automation\allure-report\plugin\screen-diff\index.js", "JavaScript", 0, 194, 0, 0, 0, 0, 0, 0, 0, 7, 201
"e:\delete\harshad\Playwright-API-Automation\allure-report\plugin\screen-diff\styles.css", "PostCSS", 0, 0, 0, 0, 0, 0, 25, 0, 0, 6, 31
"e:\delete\harshad\Playwright-API-Automation\allure-report\styles.css", "PostCSS", 0, 0, 0, 0, 0, 0, 2, 0, 3, 0, 5
"e:\delete\harshad\Playwright-API-Automation\allure-report\widgets\behaviors.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"e:\delete\harshad\Playwright-API-Automation\allure-report\widgets\categories-trend.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"e:\delete\harshad\Playwright-API-Automation\allure-report\widgets\categories.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"e:\delete\harshad\Playwright-API-Automation\allure-report\widgets\duration-trend.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"e:\delete\harshad\Playwright-API-Automation\allure-report\widgets\duration.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"e:\delete\harshad\Playwright-API-Automation\allure-report\widgets\environment.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"e:\delete\harshad\Playwright-API-Automation\allure-report\widgets\executors.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"e:\delete\harshad\Playwright-API-Automation\allure-report\widgets\history-trend.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"e:\delete\harshad\Playwright-API-Automation\allure-report\widgets\launch.json", "JSON with Comments", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"e:\delete\harshad\Playwright-API-Automation\allure-report\widgets\retry-trend.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"e:\delete\harshad\Playwright-API-Automation\allure-report\widgets\severity.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"e:\delete\harshad\Playwright-API-Automation\allure-report\widgets\status-chart.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"e:\delete\harshad\Playwright-API-Automation\allure-report\widgets\suites.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"e:\delete\harshad\Playwright-API-Automation\allure-report\widgets\summary.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"e:\delete\harshad\Playwright-API-Automation\allure-results\11f20220-c754-459d-af7f-a13489f1774a-result.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"e:\delete\harshad\Playwright-API-Automation\e2e\example.spec.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 3, 6, 19
"e:\delete\harshad\Playwright-API-Automation\e2e\seed.spec.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 1, 2, 8
"e:\delete\harshad\Playwright-API-Automation\package-lock.json", "JSON", 0, 0, 0, 168, 0, 0, 0, 0, 0, 1, 169
"e:\delete\harshad\Playwright-API-Automation\package.json", "JSON", 0, 0, 0, 19, 0, 0, 0, 0, 0, 1, 20
"e:\delete\harshad\Playwright-API-Automation\playwright.config.js", "JavaScript", 0, 28, 0, 0, 0, 0, 0, 0, 35, 11, 74
"e:\delete\harshad\Playwright-API-Automation\playwright.config.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 0, 0, 44, 10, 80
"e:\delete\harshad\Playwright-API-Automation\specs\README.md", "Markdown", 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 4
"e:\delete\harshad\Playwright-API-Automation\tests-examples\demo-todo-app.spec.js", "JavaScript", 0, 314, 0, 0, 0, 0, 0, 0, 52, 84, 450
"e:\delete\harshad\Playwright-API-Automation\tests-examples\example.spec.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 4, 6, 20
"e:\delete\harshad\Playwright-API-Automation\tests\Store_collection.spec.js", "JavaScript", 0, 46, 0, 0, 0, 0, 0, 0, 0, 6, 52
"e:\delete\harshad\Playwright-API-Automation\tests\User_collection.spec.js", "JavaScript", 0, 134, 0, 0, 0, 0, 0, 0, 3, 28, 165
"e:\delete\harshad\Playwright-API-Automation\tests\pet_collection.spec.js", "JavaScript", 0, 122, 0, 0, 0, 0, 0, 0, 42, 22, 186
"Total", "-", 41, 1838, 225, 235, 88, 2, 54, 52, 193, 331, 3059
